	A3009	EURATOM, European Atomic Energy Community
	A3022	Uppsala Ionospheric Observatory 
	A3023	Icarus Research Inc
	A3024	GATS Inc
A1048	A1165	US Naval Observatory, Flagstaff
A1058	A1059	Florida International University, SARA Observatory
A1146	A1147	Space Science Institute, Cassini Imaging Central Laboratory for Operations
A1153	A1149	National Oceanic and Atmospheric Administration, Boulder, Space Weather Prediction Center
A1271	113461	LSCE, Laboratoire des Sciences du Climat et de l'Environnement
A1271	130008	IPSL, LERMA, Laboratoire d'Etudes du Rayonnement de la Matiere en Astrophysique
A1271	A1280	IPSL, LATMOS, Laboratoire Atmospheres Milieux Observations Spatiales
A1309	A1310	IAC, La Palma Observatories
A1309	A1311	IAC, Tenerife Observatory
A1344	A1343	Isaac Newton Institute of Chile, Belgrade
A1344	A1440	Isaac Newton Institute of Chile, Crimean Branch
A1344	A1462	Isaac Newton Institute of Chile, Russia
A3009	A1373	Institute of Plasma Physics and Laser Microfusion, Warsaw
	1004	Aalborg University
	1006	Aarhus University
1006	123250	Aarhus University, Institute for Physics and Astronomy
1006	86966	Aarhus University, Institute for Geoscience
	1018	Robert Gordon University
	1019	University of Aberdeen
1019	A1755	SUPA, Scottish Universities Physics Alliance
	1023	United States Army
1023	40737	US Army Corps of Engineers
1023	47654	Army Research Laboratory Aberdeen Proving Ground
1023	58217	Army Research Laboratory, Adelphi MD
1023	172344	US Army Research Office, Research Triangle Park, NC
	1026	Aberystwyth University
1026	151346	Aberystwyth University, Institute of Geography and Earth Sciences
1026	151350	Aberystwyth University, Institute of Mathematics and Physics
	1032	Hardin-Simmons University
	1033	McMurry University
	1040	Abo Akademi University
	1044	Ohio Northern University
	1057	South Australian Museum
	1065	Flinders University
	1066	University of Adelaide
1066	A1673	University of Adelaide, School of Physics
1066	A1674	University of Adelaide, School of Earth and Environmental Sciences
	1067	University of South Australia
1068	223100	University of Maryland, Department of Chemistry
1068	248497	University of Maryland, Department of Atmospheric and Oceanic Science
1068	248530	University of Maryland, Department of Physics
1068	248531	University of Maryland, Department of Astronomy
1068	88968	Institute for Physical Science and Technology, UMD College Park
1068	A1045	Center for Research and Exploration in Space Science & Technology
	1069	University System of Maryland
1069	1068	University of Maryland, College Park
1069	12265	University of Maryland, Baltimore County
	1074	US Department of Energy
1074	6865	Pacific Northwest National Laboratory
	1085	State University of New York System
1085	1084	SUNY Albany
1085	12292	SUNY Buffalo
1085	12301	SUNY Stony Brook
1085	14625	SUNY Adirondack
1085	14787	SUNY Binghamton
1085	14788	SUNY Brockport
1085	14792	SUNY Canton
1085	14795	SUNY Cobleskill
1085	14800	SUNY Cortland
1085	14801	SUNY Delhi
1085	14805	SUNY Farmingdale
1085	14808	SUNY Fredonia
1085	14811	SUNY Geneseo
1085	14821	SUNY New Paltz
1085	14825	SUNY Oneonta
1085	14828	SUNY Oswego
1085	14829	SUNY Plattsburgh
1085	14830	SUNY Potsdam
1085	14840	SUNY Purchase
	1097	US Department of Agriculture
	1098	Albion College
	1104	University of New Mexico
1104	A1172	University of New Mexico, Department of Physics and Astronomy
1104	A1173	University of New Mexico, Department of Earth and Planetary Sciences
	1105	Sandia National Laboratories
1105	A1214	Sandia National Laboratories, Livermore
	1109	Charles Sturt University
	1132	Alfred University
	1139	Abilene Christian University
	1142	Grand Valley State University
	1146	Cedar Crest College
	1150	Alma College
	1166	University System of Georgia
1166	1165	Georgia Southwestern State University
1166	124314	Skidaway Institute of Oceanography
1166	1355	University of Georgia
1166	1372	Georgia Institute of Technology
1166	1373	Georgia State University
1166	15609	Southern Polytechnic University
1166	15612	Clayton State University
1166	15614	Valdosta State University
1166	15617	Kennesaw State University
1166	2291	University of West Georgia
1166	2634	Columbus State University
1166	32193	University of North Georgia
	1177	Iowa State University
1177	A1110	Iowa State University, Department of Physics and Astronomy
	1180	Amherst College
1180	A1027	Five College Radio Astronomy Observatory
	1183	Hampshire College
1183	A1027	Five College Radio Astronomy Observatory
	1190	Vrije Universiteit Amsterdam
1190	416511	Vrije Universiteit Amsterdam, Department of Earth Sciences
1190	A1237	Vrije Universiteit Amsterdam, Department of Physics and Astronomy
	1234	Universiteit van Amsterdam
1234	226185	Universiteit van Amsterdam, Institute of Physics
1234	A1238	Universiteit van Amsterdam, Astronomical Institute Anton Pannekoek
	1259	University of Michigan, Ann Arbor
1259	14711	University of Michigan, Dearborn
1259	14712	University of Michigan, Flint
1259	242913	University of Michigan, Ann Arbor, Department of Physics
1259	A1079	University of Michigan, Ann Arbor, Department of Astronomy
1259	A1080	University of Michigan, Ann Arbor, Radio Astronomy Observatory
1259	A1081	University of Michigan, Ann Arbor, Space Physics Research Laboratory
1259	A1082	University of Michigan, Ann Arbor, Department of Atmospheric Oceanic and Space Sciences
1259	A1083	University of Michigan, Ann Arbor, Department of Geological Sciences
	1260	US Environmental Protection Agency
1260	138030	US Environmental Protection Agency, Research Triangle Park
	1263	Bard College
	1268	Saint Johns College, Annapolis
	1270	Saint Francis Xavier University, Canada
	1279	Lawrence University
	1286	California State University System
1286	10695	California State University, Sacramento
1286	1285	Humboldt State University
1286	14662	California State University, Bakersfield
1286	14663	California State University, Chico
1286	14665	California State University, Fresno
1286	14666	California State University, Fullerton
1286	14667	California State University, Hayward
1286	14668	California State University, Long Beach
1286	14669	California State University, Los Angeles
1286	14670	California State University, Monterey Bay
1286	14671	California State University, Northridge
1286	14672	California State University, San Bernardino
1286	14673	California State University, San Marcos
1286	14674	California State University, Turlock
1286	14702	California State University, Dominguez Hills
1286	6647	California State Polytechnic University
1286	6960	Sonoma State University
1286	7117	San Diego State University
1286	7147	San Francisco State University
1286	7161	San Jose State University
1286	7162	Santa Clara University
	1287	Marymount University
	1291	Argonne National Laboratory
1291	A1125	Argonne National Laboratory, Physics Division
	1314	Raytheon Corporation
1314	A1220	Raytheon Corporation, California
1314	A1221	Raytheon Corporation, Maryland
1314	A1222	Raytheon Corporation, Arizona
1314	A1223	Hughes Aircraft
	1319	University of New England Armidale
	1348	Benedictine College
	1349	Athabasca University, Canada
	1354	Ohio University, Athens
1354	A1428	Ohio University, Department of Physics and Astronomy
1355	17219	University of Georgia, Savannah River Laboratory
1355	A1068	University of Georgia, Department of Physics and Astronomy
	1357	Clark Atlanta University
	1371	Emory University
1372	A1063	Georgia Institute of Technology, Center for Relativistic Astrophysics
1372	A1064	Georgia Institute of Technology, Earth and Atmospheric Sciences
1372	A1065	Georgia Institute of Technology, Department of Physics
1373	A1066	Georgia State University, Department of Physics and Astronomy
	1375	Spelman College
	1383	Auburn University
1383	A1100	Auburn University, Department of Physics
	1410	Auckland University of Technology
	1415	University of Auckland
1415	A1652	University of Auckland, Department of Physics
1438	114093	University of California, Berkeley, Department of Earth and Planetary Science
1438	252113	University of California, Berkeley, Department of Physics
1438	A1188	University of California, Berkeley, Department of Astronomy
1438	A1189	University of California, Berkeley, Space Sciences Laboratory
1438	A1190	University of California, Berkeley, Department of Geology and Geophysics
	1439	University of California System
1439	1438	University of California, Berkeley
1439	33244	University of California, Merced
1439	8783	University of California, Los Angeles
1439	8784	University of California, San Diego
1439	8785	University of California, San Francisco
1439	8786	University of California, Santa Barbara
1439	8787	University of California, Santa Cruz
1439	8788	University of California, Irvine
1439	8789	University of California, Davis
1439	8790	University of California, Riverside
	1445	Babson College
	1466	Johns Hopkins University
1466	310920	Johns Hopkins University, Department of Physics and Astronomy
1466	70603	Johns Hopkins, Applied Physics Laboratory
	1485	Carnegie Institution of Washington
1485	230212	Las Campanas Observatory
1485	53520	Carnegie Institution of Washington, Observatories
1485	89017	Carnegie Institution of Washington, Geophysical Laboratory
1485	89019	Carnegie Institution of Washington, Department of Terrestrial Magnetism
1485	A1126	Carnegie Institution of Washington, Argonne National Laboratory
	1490	Goucher College
	1491	Morgan State University
	1492	Towson University
	1506	University College of Bangor
	1555	University of Bath, UK
	1596	Queen's University Belfast
1596	240524	Queen's University Belfast, School of Mathematics and Physics
	1632	Western Washington University
	1634	Notre Dame de Namur University
	1643	Minnesota State University System
1643	38701	Minnesota State University, Bemidji
1643	38703	Minnesota State University, Mankato
1643	38707	Minnesota State University, Winona
1643	5528	Minnesota State University, Saint Cloud
1643	5627	Minnesota State University, Moorhead
	1646	Bennington College
	1649	Curtin University
1649	168274	Curtin University of Technology
1649	A1676	International Centre for Radio Astronomy Research
1649	A1677	Curtin University, Department of Physics
	1652	Berea College
	1658	University of Bergen
1658	A1305	University of Bergen, Department of Physics
	1666	Lawrence Berkeley National Laboratory
1666	A1218	Lawrence Berkeley National Laboratory, Physics Division
	1671	Siemens AG
	1674	Andrews University
	1687	Lehigh University
	1701	Ferris State University
	1705	Montana State University System
1705	33049	Montana State University, Billings
1705	33052	Montana State University, Bozeman
	1711	Indiana University 
1711	A1094	Indiana University, Department of Astronomy
1711	A1095	Indiana University, Department of Physics
	1722	Aston University, UK
	1724	University of Birmingham
1724	152867	University of Birmingham, School of Physics and Astronomy
1724	152868	University of Birmingham, School of Geography, Earth and Environmental Sciences
	1755	UK Ministry of Defense
1755	A1765	DSIR, Department of Scientific and Industrial Research, UK
1755	A1766	Royal Radar Establishment, UK
1755	A1767	Royal Aerospace Establishment, UK
	1757	Virginia Polytechnic Institute and State University
1757	A1807	Virginia Tech, Department of Geosciences
1757	A1808	Virginia Tech, Department of Physics
	1763	Simon Fraser University, Canada
	1770	Illinois Wesleyan University
	1773	Bloomsburg University of Pennsylvania
	1782	Florida Atlantic University
	1791	Boise State University
	1808	Boston College
1808	124351	Boston College, Weston Observatory
1808	205707	Boston College, Department of Geology and Geophysics
1808	372741	Boston College, Department of Chemistry
1808	A1000	Boston College, Department of Physics
1808	A1001	Boston College, Department of Earth and Environmental Studies
1808	A1002	Boston College, Institute for Scientific Research
	1809	Massachusetts State University System
1809	10646	Bridgewater State University
1809	7043	Salem State University
	1810	Tufts University
1810	399918	Tufts University, School of Engineering
1810	A1005	Tufts University, Department of Physics and Astronomy
	1812	Harvard University
1812	124324	Blue Hill Meteorological Observatory
1812	164189	Harvard University, Department of Chemistry
1812	1811	Harvard Medical School
1812	242596	Harvard University, Department of Physics
1812	53785	Harvard Radcliffe Institute for Advanced Study
1812	61814	Harvard Smithsonian Center for Astrophysics
1812	A1034	Harvard College Observatory
1812	A1035	Harvard University Center for Earth and Planetary Physics
1812	A1036	Harvard University, Department of Astronomy
	1828	Wheelock College
	1846	Boston University
1846	168350	Boston University, Department of Geography
1846	169392	Boston University, Center for Remote Sensing
1846	201920	Boston University, Department of Physics
1846	310031	Boston University, Department of Astronomy
1846	310035	Boston University, Department of Earth Sciences
	1848	Northeastern University
1848	195089	Northeastern University, Department of Physics
	1850	Suffolk University
1850	226251	Suffolk University, Madrid
	1851	University of Massachusetts System
1851	14707	UMass Amherst
1851	14708	UMass Boston
1851	14709	UMass Dartmouth
1851	14710	UMass Lowell
	1861	Brigham and Women's Hospital
1877	129418	University of Colorado, Boulder, Department of Aerospace and Engineering
1877	314450	CIRES, Cooperative Institute for Research in Environmental Sciences
